,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,4357876,1025-1031,
0,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",89,25994,0.28976878,6171329,43787,10529205,1101-1107,7739559
1,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,18856,-0.274601831,4454489,62643,14983694,1108-1114,5729052
2,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,11849,-0.371605855,2829267,74492,17812961,1115-1121,8456463
3,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,12365,0.043547979,2911166,86857,20724127,1122-1128,7746814
4,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",90,27015,1.184795795,6318497,113872,27042624,1129-1205,78670840
5,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,17518,-0.351545438,4096217,131390,31138841,1206-1212,66005448
6,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",83,6391,-0.635175248,1513119,137781,32651960,1213-1219,39061776
7,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",50,3182,-0.502112345,741867,140963,33393827,1220-1226,25759859
8,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",23,1224,-0.615336266,277094,142187,33670921,1227-0102,30376928
9,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",5,160,-0.869281046,39140,142347,33710061,22_0103-0109,10268653
